File Path,Category,Owner,Reviewer,Status,Issues Count,Priority,Sign-off Date,Notes,GovernanceStatus,LastAuditDate,EvidenceLink
content/agents/_category_.json,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,Low,,Sidebar config,Not Started,,
content/agents/agno-agents/_category_.json,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,Low,,Sidebar config,Not Started,,
content/agents/agno-agents/flows.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/agents/agno-agents/index.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/agents/agno-agents/mcp.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/agents/agno-agents/prompts.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/agents/agno-agents/tests.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/agents/overview.mdx,agents,MCPGuild,BackendGuild;MLOps,Not Started,0,Medium,,Category overview,Not Started,,
content/api/_category_.json,api,ArchitectureGuild,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/api/data-capture.mdx,api,ArchitectureGuild,BackendGuild,Not Started,0,Critical,,,Not Started,,
content/api/order-manager.mdx,api,ArchitectureGuild,BackendGuild,Not Started,0,Critical,,,Not Started,,
content/api/overview.mdx,api,ArchitectureGuild,BackendGuild,Not Started,0,High,,Catalog overview,Not Started,,
content/apps/_category_.json,apps,DocsOps,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/apps/data-capture/_category_.json,apps,DocsOps,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/apps/data-capture/api.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/architecture.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/changelog.mdx,apps,DocsOps,BackendGuild,Not Started,0,Medium,,,Not Started,,
content/apps/data-capture/config.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/deployment.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/operations.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/overview.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/requirements.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/data-capture/runbook.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/_category_.json,apps,DocsOps,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/apps/order-manager/api.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/architecture.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/changelog.mdx,apps,DocsOps,BackendGuild,Not Started,0,Medium,,,Not Started,,
content/apps/order-manager/config.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/deployment.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/operations.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/overview.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/requirements.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/risk-controls.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/order-manager/runbook.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/overview.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,Category overview,Not Started,,
content/apps/tp-capital/_category_.json,apps,DocsOps,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/apps/tp-capital/api.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/architecture.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/changelog.mdx,apps,DocsOps,BackendGuild,Not Started,0,Medium,,,Not Started,,
content/apps/tp-capital/config.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/deployment.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/operations.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/overview.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/requirements.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/tp-capital/runbook.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/_category_.json,apps,DocsOps,BackendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/apps/workspace/api.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/architecture.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/changelog.mdx,apps,DocsOps,BackendGuild,Not Started,0,Medium,,,Not Started,,
content/apps/workspace/config.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/deployment.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/operations.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/overview.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/requirements.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/apps/workspace/runbook.mdx,apps,DocsOps,BackendGuild,Not Started,0,High,,,Not Started,,
content/changelog.mdx,changelog,ReleaseOps,DocsOps;AllGuilds,Not Started,0,High,,,Not Started,,
content/database/_category_.json,database,DataOps,ArchitectureGuild;DevOps,Not Started,0,Low,,Sidebar config,Not Started,,
content/database/migrations.mdx,database,DataOps,ArchitectureGuild;DevOps,Not Started,0,High,,,Not Started,,
content/database/overview.mdx,database,DataOps,ArchitectureGuild;DevOps,Not Started,0,High,,,Not Started,,
content/database/retention-backup.mdx,database,DataOps,ArchitectureGuild;DevOps,Not Started,0,High,,,Not Started,,
content/database/schema.mdx,database,DataOps,ArchitectureGuild;DevOps,Not Started,0,Critical,,,Not Started,,
content/diagrams/_category_.json,diagrams,DocsOps,ArchitectureGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/diagrams/diagrams.mdx,diagrams,DocsOps,ArchitectureGuild,Not Started,0,High,,Validate 26 .puml sources,Not Started,,
content/faq.mdx,faq,SupportOps,DocsOps;AllGuilds,Not Started,0,High,,,Not Started,,
content/frontend/_category_.json,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Low,,Sidebar config,Not Started,,
content/frontend/design-system/_category_.json,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Low,,Sidebar config,Not Started,,
content/frontend/design-system/components.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/design-system/patterns.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Medium,,,Not Started,,
content/frontend/design-system/theming.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Medium,,,Not Started,,
content/frontend/design-system/tokens.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,Auto-generated,Not Started,,
content/frontend/engineering/_category_.json,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Low,,Sidebar config,Not Started,,
content/frontend/engineering/architecture.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/engineering/build-ci.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/engineering/conventions.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/engineering/lint-format.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Medium,,,Not Started,,
content/frontend/engineering/testing.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/guidelines/_category_.json,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Low,,Sidebar config,Not Started,,
content/frontend/guidelines/accessibility.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/guidelines/i18n.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Medium,,,Not Started,,
content/frontend/guidelines/performance.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,Medium,,,Not Started,,
content/frontend/guidelines/style-guide.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,,Not Started,,
content/frontend/overview.mdx,frontend,FrontendGuild,DocsOps;UXTeam,Not Started,0,High,,Category overview,Not Started,,
content/index.mdx,root,DocsOps,ProductOps;AllGuilds,Not Started,0,Critical,,Homepage,Not Started,,
content/mcp/_category_.json,mcp,MCPGuild,BackendGuild;MLOps,Not Started,0,Low,,Sidebar config,Not Started,,
content/mcp/permissions.mdx,mcp,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/mcp/registry.mdx,mcp,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/mcp/transports.mdx,mcp,MCPGuild,BackendGuild;MLOps,Not Started,0,High,,,Not Started,,
content/prd/_category_.json,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/prd/archive/_category_.json,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/prd/archive/deprecated-features.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,High,,,Not Started,,
content/prd/overview.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,High,,Category overview,Not Started,,
content/prd/products/_category_.json,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/prd/products/trading-app/_category_.json,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/prd/products/trading-app/feature-idea-bank.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,High,,,Not Started,,
content/prd/products/trading-app/feature-idea-bank.pt.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Medium,,Localization,Not Started,,
content/prd/products/trading-app/feature-order-manager.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,High,,,Not Started,,
content/prd/products/trading-app/feature-order-manager.pt.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Medium,,Localization,Not Started,,
content/prd/products/trading-app/prd-overview.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,High,,,Not Started,,
content/prd/products/trading-app/prd-overview.pt.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Medium,,Localization,Not Started,,
content/prd/templates/_category_.json,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Low,,Sidebar config,Not Started,,
content/prd/templates/feature-template.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Medium,,Template,Not Started,,
content/prd/templates/prd-template.mdx,prd,ProductOps,ArchitectureGuild;FrontendGuild,Not Started,0,Medium,,Template,Not Started,,
content/prompts/_category_.json,prompts,PromptOps,BackendGuild;MLOps,Not Started,0,Low,,Sidebar config,Not Started,,
